G,K,x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
50700000000.0,93400000000.0,0.02229057790894281,0.015739640842258196,3.0491406640864505e-05,-1.4669593198949966e-06
50700000000.0,93400000000.0,0.020000000000054183,0.011394594187402386,2.8668397298330727e-05,-3.736960890010672e-07
50700000000.0,93400000000.0,0.017566286161876592,0.007083180156676255,2.6864379201758456e-05,7.579420887421147e-07
50700000000.0,93400000000.0,0.014999999999966446,0.0,2.4930503245051147e-05,2.77030374187194e-06
50700000000.0,93400000000.0,0.02500000000006815,0.02,3.281363716353846e-05,-2.6342258872043167e-06
50700000000.0,93400000000.0,0.01736733342155068,0.003000099772614508,2.675412542642609e-05,1.8938859432499812e-06
50700000000.0,93400000000.0,0.02737020972161973,0.015362584644700668,3.4373065963929046e-05,-1.2574398746995707e-06
50700000000.0,93400000000.0,0.024072927571751456,0.01212333826448509,3.1632512687223734e-05,-4.95378978111527e-07
50700000000.0,93400000000.0,0.024034243466549775,0.008013607373164403,3.163575392224411e-05,4.2221796628897674e-07
50700000000.0,93400000000.0,0.021768072729645416,0.0036519992810766177,3.0141146737944808e-05,1.6049468032550504e-06
50700000000.0,93400000000.0,0.01999999999994713,0.0,2.8788696624149942e-05,2.6968531466194246e-06
50700000000.0,93400000000.0,0.030000000000077968,0.02,3.709542478203559e-05,-2.729960827505225e-06
50700000000.0,93400000000.0,0.03223980835074959,0.016376148601735353,3.8518140845286605e-05,-1.708512999913926e-06
50700000000.0,93400000000.0,0.027645846846229866,0.0106961938238212,3.398876917737419e-05,-1.8110856414812006e-07
50700000000.0,93400000000.0,0.02678338009723399,0.0036947267528664447,3.401244415697868e-05,1.4205725968916683e-06
50700000000.0,93400000000.0,0.024999999999925096,0.0,3.2778572421313844e-05,2.549447390157941e-06
50700000000.0,93400000000.0,0.03500000000009727,0.02,4.1866447683693294e-05,-3.731099546031212e-06
50700000000.0,93400000000.0,0.030348939871098816,0.013125353251381444,3.6181406865826815e-05,-6.905387947848506e-07
50700000000.0,93400000000.0,0.02940025161316464,0.0067989499071536815,3.552068145912278e-05,5.925341745251673e-07
50700000000.0,93400000000.0,0.036591540547954216,0.01654894436243326,4.27354095957247e-05,-2.9945557205291656e-06
50700000000.0,93400000000.0,0.034273307852885515,0.013206798131455718,3.901221983246939e-05,-7.85825981396539e-07
50700000000.0,93400000000.0,0.031890437964898155,0.01002599308788085,3.63866210259638e-05,-2.856263185944152e-08
50700000000.0,93400000000.0,0.02999999999992068,0.0,3.7105135535938624e-05,2.6080120045190827e-06
50700000000.0,93400000000.0,0.03185718389473047,0.00342847538426219,3.820841193279341e-05,1.639370787531294e-06
